incremental_id,event_type,description,event_date,status,date_reported,id
22,Theft,Nature discover admit better happen much serious save once bring everyone.,2016-08-30,Pending,2018-02-06,673ef5fdb6d767d2f8001234
23,Murder,Though factor nature want if learn expert believe yard bed site note whose.,2007-08-13,Investigating,2020-09-11,673ef5fd37693cfc74001234
24,Attempt,Tree water exist along type Democrat.,2014-02-02,Closed,2018-02-26,673ef5fd1ff1de7740001234
25,Kidnapping,Office behavior anyone least outside economic scientist able conference.,2007-11-26,Pending,2015-12-14,673ef5fd8e296a067a001234
26,Kidnapping,And wide weight such technology campaign player light four director out.,2022-01-18,Pending,2024-06-23,673ef5fd4e732ced34001234
27,Kidnapping,Single attack as every movement baby moment save.,2013-07-21,Investigating,2019-07-23,673ef5fd02e74f10e0001234
28,Kidnapping,Beautiful throughout throw spring local race until film detail clear significant.,2008-02-01,Investigating,2008-11-28,673ef5fd33e75ff09d001234
29,Murder,Child fall at attack third else kind fund toward oil only.,2014-06-19,Closed,2006-02-20,673ef5fd6ea9ab1baa001234
30,Attempt,Old firm growth clear cut education either cost south heart.,2005-01-16,Closed,2019-10-05,673ef5fd34173cb38f001234
31,Kidnapping,When station head church herself Mr save street southern strong.,2007-12-14,Investigating,2009-04-09,673ef5fdc16a5320fa001234
32,Kidnapping,Authority music half century finally important window into when important fine.,2012-04-09,Investigating,2011-04-04,673ef5fd6364d3f0f4001234
33,Murder,Memory event forget company answer raise hair us high can seem coach action.,2022-02-09,Closed,2008-03-01,673ef5fd182be0c5cd001234
34,Murder,Move cultural herself American language catch sure across wish anyone everything billion security.,2016-09-22,Closed,2008-09-29,673ef5fde369853df7001234
35,Kidnapping,Model team carry mean science special help night conference share.,2008-10-05,Investigating,2015-08-22,673ef5fd1c383cd30b001234
36,Theft,Clearly he detail billion sometimes game.,2020-03-11,Investigating,2022-05-09,673ef5fd19ca14e7ea001234
37,Kidnapping,Animal sign glass language factor body claim down result education.,2006-05-30,Pending,2009-12-23,673ef5fda5bfc9e079001234
38,Kidnapping,Society health figure pay on those set research be garden deal.,2011-12-12,Investigating,2020-11-01,673ef5fda5771bce93001234
39,Kidnapping,Should radio worry place seven loss author value daughter decade security traditional.,2023-01-10,Investigating,2017-06-22,673ef5fdd67d8ab4f4001234
40,Attempt,Agree stuff center should here community meet member production culture.,2018-01-29,Investigating,2008-07-16,673ef5fdd645920e39001234
41,Kidnapping,Way age cause nice right language vote policy difference sport tax agree.,2014-03-09,Closed,2015-10-10,673ef5fd3416a75f4c001234
42,Attempt,Final play take discuss live activity occur.,2023-06-23,Pending,2004-12-23,673ef5fda1d0c6e83f001234
43,Attempt,Sell everybody free develop customer rest laugh religious part condition.,2012-08-29,Pending,2014-12-27,673ef5fd17e62166fc001234
44,Theft,Gas perhaps discuss full on during especially kitchen.,2024-01-26,Pending,2007-05-23,673ef5fdf7177163c8001234
45,Kidnapping,Sister development clear meet full happy concern sea.,2010-12-12,Closed,2013-08-17,673ef5fd6c8349cc72001234
46,Attempt,Owner movie executive TV become religious individual create her economy general within.,2024-07-05,Pending,2014-07-29,673ef5fdd9d4f495e8001234
47,Attempt,Today official skill different get natural.,2006-10-18,Pending,2009-03-17,673ef5fd67c6a1e7ce001234
48,Theft,Summer else memory operation begin seat blue audience research stage add seem.,2006-08-04,Investigating,2006-04-22,673ef5fd642e92efb7001234
49,Attempt,Major manage structure old commercial how example health finish decision direction skill art.,2019-11-04,Investigating,2024-02-11,673ef5fdf457c545a9001234
50,Murder,Least score central wind she room name use hit again soon.,2018-08-11,Pending,2020-08-17,673ef5fdc0c7c76d30001234
51,Theft,Sister direction attention present suddenly low skill growth result believe deal.,2008-03-01,Closed,2018-02-05,673ef5fd2838023a77001234
52,Kidnapping,Just speak surface expert that next together me until.,2021-08-27,Pending,2007-11-08,673ef5fd9a1158154d001234
53,Theft,Difference southern accept four the daughter single usually on receive evidence approach who.,2024-09-30,Pending,2014-08-20,673ef5fdd82c8d1619001234
54,Attempt,Bar when close expect vote allow investment perform food.,2021-09-06,Closed,2014-01-04,673ef5fda684eceee7001234
55,Murder,Make eat I peace century analysis ready.,2014-03-16,Pending,2015-10-12,673ef5fdb53b3a3d6a001234
56,Attempt,Down job apply another author wonder report least trial structure.,2024-05-28,Pending,2010-05-19,673ef5fd9f61408e3a001234
57,Kidnapping,Single begin memory can pay compare measure point somebody black word.,2021-05-19,Pending,2017-10-30,673ef5fd72b32a1f75001234
58,Attempt,So player exist area property board positive.,2010-03-03,Investigating,2015-07-10,673ef5fd66f041e16a001234
59,Kidnapping,Single happy when all speech put over everybody national suggest thank material.,2018-05-11,Closed,2015-06-22,673ef5fd093f65e080001234
60,Kidnapping,Right read sound until play mouth page husband down.,2013-02-14,Investigating,2014-05-07,673ef5fd072b030ba1001234
61,Murder,Drop meet magazine better maybe continue.,2024-07-26,Pending,2015-08-09,673ef5fd7f39f8317f001234
62,Attempt,Agree bank our pressure drive lot account.,2007-01-06,Pending,2005-09-05,673ef5fd44f683a841001234
63,Attempt,Ever his picture sell senior large house leg over magazine left group.,2022-04-22,Pending,2013-07-12,673ef5fd03afdbd66e001234
64,Attempt,Rich enter big upon future Democrat seven standard in artist policy red letter stand.,2005-10-29,Closed,2015-10-08,673ef5fdea5d2f1c46001234
65,Kidnapping,Actually base likely yes seven wonder none.,2023-02-18,Investigating,2012-08-01,673ef5fdfc490ca45c001234
66,Attempt,Place score hour give score expert suddenly.,2011-05-12,Closed,2013-02-17,673ef5fd3295c76acb001234
67,Murder,Manage what sit crime myself different down rise society kind student every.,2009-11-15,Closed,2015-09-26,673ef5fd735b90b456001234
68,Theft,Middle study who policy develop boy sound space show.,2019-09-26,Closed,2018-06-28,673ef5fda3f390d88e001234
69,Murder,Affect listen clearly defense nation appear.,2007-09-14,Closed,2022-07-17,673ef5fd14bfa6bb14001234
70,Attempt,Agency your base all player include interesting civil chance alone hand.,2022-08-28,Pending,2021-01-22,673ef5fd7cbbc409ec001234
71,Murder,Morning need some popular rate customer rule sell hair game ready leave.,2023-01-18,Investigating,2024-06-15,673ef5fde2c420d928001234
72,Murder,Sound dog activity return with late gun of.,2016-01-11,Investigating,2024-02-28,673ef5fd32bb90e897001234
73,Theft,Cold goal say interesting agency cup five something itself small level.,2011-08-05,Pending,2015-11-14,673ef5fdd2ddea18f0001234
74,Kidnapping,Goal ten street but go new brother pattern protect yet.,2017-12-04,Closed,2014-04-19,673ef5fdad61ab1432001234
75,Kidnapping,Industry theory decide wind myself whom.,2024-01-28,Closed,2016-01-02,673ef5fdd09bf41544001234
76,Theft,System write much special place meet modern on production respond yet together mean.,2021-04-15,Pending,2011-04-08,673ef5fdfbd7939d67001234
77,Attempt,Fall project often interview up whole community.,2010-05-25,Pending,2011-06-08,673ef5fd28dd2c7955001234
78,Attempt,Three fund here deep within go so door firm level.,2005-04-11,Pending,2011-03-14,673ef5fd35f4a8d465001234
79,Attempt,Education market she third investment partner deal several production before.,2008-09-04,Investigating,2022-04-28,673ef5fdd1fe173d08001234
80,Theft,There hand public far evidence each argue increase lawyer tell wonder line brother.,2014-03-01,Closed,2015-10-10,673ef5fdf033ab37c3001234
81,Kidnapping,Some training still agreement pretty sister natural fall.,2014-04-27,Investigating,2019-08-11,673ef5fd43ec517d68001234
82,Theft,Spend painting federal reveal mean father seek picture particularly.,2019-10-20,Closed,2011-05-21,673ef5fd9778d5d219001234
83,Murder,Establish front job prevent ability or check.,2018-01-05,Investigating,2024-04-26,673ef5fdfe9fc289c3001234
84,Murder,Prepare maintain without talk say total data allow nor start.,2016-10-28,Closed,2005-05-07,673ef5fd68d30a9594001234
85,Attempt,Upon my expect free note several check cause.,2019-10-16,Pending,2016-04-19,673ef5fd3ef815416f001234
86,Theft,Lay miss wrong spring loss southern gas.,2020-07-18,Investigating,2007-08-26,673ef5fd93db85ed90001234
87,Attempt,Against defense student create cold born manager relationship they business federal loss.,2020-08-10,Closed,2024-11-02,673ef5fdc7e1249ffc001234
88,Kidnapping,Future sound race seek include industry meeting however trade same movement.,2006-09-06,Closed,2009-09-03,673ef5fd2a38a4a931001234
89,Murder,Others remember believe world born crime region water.,2015-07-13,Closed,2010-04-20,673ef5fd7647966b73001234
90,Attempt,Pass night but all color kid say someone stay alone.,2014-06-24,Investigating,2008-11-02,673ef5fd8613985ec4001234
91,Attempt,Member catch here road nor become blue behavior none person school yes.,2014-08-24,Pending,2016-06-04,673ef5fd54229abfcf001234
92,Theft,Employee trial send network team experience clearly language beat.,2019-12-23,Closed,2015-12-23,673ef5fd92cc227532001234
93,Theft,Material mind now open enjoy stay glass.,2022-09-21,Investigating,2014-06-05,673ef5fd98dce83da5001234
94,Attempt,Great though cover table result government color network short.,2015-01-21,Pending,2021-11-01,673ef5fdf4b9ec30ad001234
95,Murder,Field themselves late anyone college turn total concern water.,2005-01-31,Closed,2014-07-25,673ef5fd812b4ba287001234
96,Attempt,Realize though other popular same prepare often according eye approach recognize.,2008-12-08,Investigating,2012-07-25,673ef5fd26657d5ff9001234
97,Attempt,Subject Mrs likely choose culture condition heart left.,2022-03-16,Investigating,2009-11-26,673ef5fde2ef524fbf001234
98,Theft,Direction see set rather Republican night again return heavy send design citizen off.,2021-04-07,Investigating,2010-08-12,673ef5fded3d2c2199001234
99,Murder,Including chair election front character cause personal response compare task your after.,2020-09-02,Pending,2022-05-11,673ef5fdac627ab1cc001234
100,Kidnapping,Other lot sea through base certain.,2014-08-24,Investigating,2017-11-21,673ef5fdf899139df5001234
101,Murder,Test consumer toward respond key off power itself law ten good.,2016-01-12,Investigating,2005-12-16,673ef5fd38b3eff8ba001234
102,Kidnapping,Travel Mrs nothing myself but worker talk test still reach big evening anyone.,2022-02-22,Pending,2012-01-19,673ef5fdec8956637a001234
103,Theft,Event share result art receive year necessary marriage.,2007-08-26,Pending,2008-11-02,673ef5fd6974ce5ac6001234
104,Attempt,Mean too claim keep issue specific in student loss front plant without view receive.,2021-01-11,Closed,2018-12-27,673ef5fdc9e1074f5b001234
105,Theft,Technology drug age rock available what these third decade probably blue budget personal.,2018-01-11,Closed,2012-04-12,673ef5fd65b9eea6e1001234
106,Attempt,Teacher performance seem explain common live light lay in successful.,2010-06-30,Investigating,2021-07-11,673ef5fdf0935e4cd5001234
107,Murder,Join before stop well box recognize expect much subject difference my.,2018-09-30,Investigating,2016-02-10,673ef5fda97da629b0001234
108,Attempt,Painting notice idea trial herself raise central where available TV service.,2013-05-19,Closed,2016-08-09,673ef5fda3c65c2974001234
109,Murder,Business officer bar young themselves light budget professor hard adult keep fill.,2013-01-10,Pending,2024-04-22,673ef5fd2723d092b6001234
110,Kidnapping,Environmental firm important down exist five technology.,2020-02-25,Investigating,2009-11-25,673ef5fd5f93f98352001234
111,Attempt,Newspaper nothing day they evening commercial family bed low.,2006-04-24,Investigating,2009-10-29,673ef5fd698d51a19d001234
112,Theft,Interview capital exist last watch contain shake and wide yourself.,2016-01-02,Investigating,2005-03-04,673ef5fd7f6ffaa6bb001234
113,Murder,State bar answer add fly than.,2018-03-19,Pending,2023-03-28,673ef5fd73278a4a86001234
114,Kidnapping,Add kid somebody week thank garden population.,2011-11-04,Closed,2005-09-02,673ef5fd5fd0b37cd7001234
115,Murder,Very day before identify human kind against his wonder your.,2020-02-21,Pending,2018-01-29,673ef5fd2b44928ae1001234
116,Murder,Value professional around work child prove play save four answer vote.,2013-10-17,Investigating,2024-01-09,673ef5fdc45147dee7001234
117,Murder,Him say affect teach education natural go any exactly stage somebody enjoy.,2022-02-14,Investigating,2022-04-07,673ef5fdeb160de1de001234
118,Murder,Beyond source rather operation a information arrive west others big read however car.,2015-05-14,Pending,2023-02-10,673ef5fd5ef059938b001234
119,Theft,Also seat life fish smile job travel class add and street.,2014-09-22,Pending,2013-09-10,673ef5fd07e1cd7dca001234
120,Murder,Number from example only matter free movement standard attention few record.,2010-07-06,Closed,2011-10-22,673ef5fdda4fb5c6e9001234
121,Murder,Affect family beat maintain hundred outside.,2005-07-27,Investigating,2012-07-01,673ef5fd4c56ff4ce4001234
122,Theft,Evidence wear because blood stock cover whose.,2010-11-18,Investigating,2011-09-20,673ef5fda0a080f42e001234
123,Murder,Their each population wall because five cause.,2014-01-30,Pending,2023-05-21,673ef5fd202cb962ac001234
124,Murder,Current operation cause newspaper reach both music heavy present general high after.,2020-11-28,Pending,2012-07-17,673ef5fdc8ffe9a587001234
125,Murder,Much generation push entire realize national owner newspaper letter after.,2017-05-03,Investigating,2012-08-01,673ef5fd3def184ad8001234
126,Kidnapping,Wait political hand summer protect state ground discover tell close.,2021-12-07,Pending,2010-11-15,673ef5fd069059b7ef001234
127,Kidnapping,Respond picture discover ago method effect name conference as avoid everybody important listen.,2014-09-09,Investigating,2019-05-23,673ef5fdec5decca5e001234
128,Attempt,Candidate development anyone clearly law nothing interview certainly discussion.,2024-04-28,Investigating,2023-08-29,673ef5fd76dc611d6e001234
129,Kidnapping,Prepare whole eight claim kitchen present my war executive.,2016-03-27,Investigating,2010-06-27,673ef5fdd1f491a404001234
130,Kidnapping,Skill participant room under central hour necessary admit store best.,2016-07-23,Closed,2023-10-09,673ef5fd9b8619251a001234
131,Murder,Billion let fact or concern government personal sea age power respond poor.,2008-09-01,Pending,2023-04-20,673ef5fd1afa34a7f9001234
132,Theft,Blue use many reflect government if animal lay evidence shake.,2007-04-04,Closed,2018-02-26,673ef5fd65ded5353c001234
133,Attempt,Small wear task image whether create.,2020-07-04,Investigating,2011-10-21,673ef5fd9fc3d7152b001234
134,Kidnapping,Save manager trade land remember street program subject reduce paper college.,2017-06-07,Pending,2015-01-25,673ef5fd02522a2b27001234
135,Murder,Exactly tax animal everybody worry participant front cell.,2009-08-12,Pending,2013-12-18,673ef5fd7f1de29e6d001234
136,Murder,Car drop region certainly because me almost.,2015-12-24,Closed,2012-02-05,673ef5fd42a0e188f5001234
137,Murder,Ahead reduce skill discuss effect have task oil develop ago strategy follow.,2013-04-05,Pending,2007-05-23,673ef5fd3988c7f88e001234
138,Attempt,Also probably inside class everybody evening floor.,2015-05-12,Closed,2023-05-15,673ef5fd013d407166001234
139,Murder,Visit ask place per firm eat with strategy change while great.,2014-06-23,Closed,2010-06-14,673ef5fde00da03b68001234
140,Murder,Situation medical oil plant upon drop senior yeah.,2020-10-04,Investigating,2007-01-10,673ef5fd1385974ed5001234
141,Murder,Investment own matter today between visit garden area Mr century.,2010-09-28,Pending,2005-04-19,673ef5fd0f28b5d49b001234
142,Attempt,Me kid industry modern seem truth form region think audience.,2015-05-28,Pending,2017-05-07,673ef5fda8baa56554001234
143,Attempt,Analysis perform moment under final under once.,2007-10-09,Closed,2021-06-27,673ef5fd903ce9225f001234
144,Theft,Smile shake amount how just beautiful effect issue whatever hold moment high century.,2009-02-20,Investigating,2011-06-20,673ef5fd0a09c8844b001234
145,Theft,Step remain picture speak to full room him nothing audience amount.,2017-05-22,Pending,2023-10-04,673ef5fd2b24d49505001234
146,Attempt,Increase occur into green involve can.,2013-03-16,Closed,2014-08-30,673ef5fda5e0013237001234
147,Theft,Hope level material city growth always hundred up beat.,2020-05-09,Closed,2016-11-17,673ef5fd8d5e957f29001234
148,Attempt,Natural place full anyone among part bill method card leg.,2022-05-23,Investigating,2019-07-11,673ef5fd47d1e99058001234
149,Kidnapping,Response family its whatever always position art camera others source establish police process.,2023-07-23,Pending,2009-02-08,673ef5fdf2217062e9001234
150,Attempt,Writer scene some left upon wide debate.,2012-12-07,Pending,2008-03-22,673ef5fd7ef605fc8d001234
151,Attempt,Structure same many until save tell deal wait serve election relationship page marriage.,2019-03-29,Closed,2017-02-01,673ef5fda8f15eda80001234
152,Attempt,Political it join run learn analysis buy partner.,2014-01-27,Pending,2021-05-11,673ef5fd37a749d808001234
153,Theft,Firm land floor sort whose some back everybody pull my.,2009-09-25,Investigating,2015-02-19,673ef5fdb3e3e393c7001234
154,Theft,Difficult why production during ever art positive once situation.,2022-09-04,Investigating,2018-11-08,673ef5fd1d7f7abc18001234
155,Theft,Skin response arrive kitchen ago cell this different.,2009-12-04,Pending,2018-07-30,673ef5fd2a79ea27c2001234
156,Kidnapping,Election money trial herself opportunity president.,2015-09-27,Pending,2015-10-22,673ef5fd1c9ac0159c001234
157,Attempt,Difficult risk appear discuss west bit far campaign issue discuss phone four.,2007-07-18,Closed,2012-06-03,673ef5fd6c4b761a28001234
158,Attempt,Woman stage study much talk store.,2006-04-20,Closed,2006-12-21,673ef5fd0640966322001234
159,Attempt,Another manager manage power prepare personal try security father green central performance level.,2024-03-24,Closed,2013-08-12,673ef5fd140f6969d5001234
160,Murder,How remember call exist check leader home.,2020-11-30,Pending,2023-10-15,673ef5fdb73ce398c3001234
161,Kidnapping,Which Congress how country question whom right serve would play.,2021-06-10,Closed,2018-05-30,673ef5fdbd4c9ab730001234
162,Attempt,Couple whatever cover leave space cause before quickly system black sing today big.,2013-02-08,Investigating,2007-12-29,673ef5fd82aa4b0af3001234
163,Murder,During probably certainly race company approach professor decide.,2007-11-06,Investigating,2013-08-09,673ef5fd0777d5c17d001234
164,Attempt,His chance piece get red fight rock argue source choice cost really born.,2011-02-26,Investigating,2010-07-25,673ef5fdfa7cdfad1a001234
165,Murder,Build store you apply bank high purpose character really these get establish.,2010-08-02,Pending,2005-07-07,673ef5fd9766527f2b001234
166,Murder,Not third everybody operation consider series organization education worker need.,2012-02-11,Closed,2013-12-14,673ef5fd7e7757b1e1001234
167,Kidnapping,Protect office ready employee purpose produce on ground their step.,2021-02-06,Pending,2018-06-24,673ef5fd5878a7ab84001234
168,Theft,Son suffer answer early apply them others.,2011-11-15,Closed,2019-07-09,673ef5fd006f52e910001234
169,Murder,Trade decade people who test else authority need bar result.,2015-02-21,Pending,2010-08-22,673ef5fd3636638817001234
170,Murder,Then run green if moment simple range gas interest body manage society foot.,2023-01-21,Closed,2012-07-15,673ef5fd149e9677a5001234
171,Murder,Behind question interesting bag kid offer.,2011-05-24,Investigating,2011-03-06,673ef5fda4a042cf4f001234
172,Murder,Forget total while painting office court here interview generation majority either seven bring.,2010-06-26,Pending,2015-01-13,673ef5fd1ff8a7b5dc001234
173,Attempt,Maybe international near hotel meeting charge hit account kid want final item.,2010-06-19,Pending,2013-08-14,673ef5fdf7e6c85504001234
174,Attempt,Financial lay amount rest who old.,2009-06-13,Closed,2012-07-08,673ef5fdbf8229696f001234
175,Attempt,Place friend such such best thousand national.,2005-12-21,Pending,2011-07-25,673ef5fd8216124282001234
176,Theft,Everyone true activity affect inside by represent drug minute.,2024-02-14,Closed,2017-03-07,673ef5fd38af86134b001234
177,Attempt,Film message begin often effort two break course owner audience until reduce see.,2010-01-10,Pending,2006-02-26,673ef5fd96da2f590c001234
178,Murder,Skill west treat statement home each area near.,2007-04-18,Investigating,2012-06-13,673ef5fd8f85517967001234
179,Kidnapping,Interest assume against garden certainly article structure piece participant born management past.,2011-01-16,Investigating,2005-01-24,673ef5fd8f53295a73001234
180,Theft,Wonder road economic light gas prove prevent guy important financial heart.,2017-10-16,Pending,2018-09-14,673ef5fd045117b0e0001234
181,Kidnapping,More use become lose none cost information.,2010-04-13,Closed,2017-04-22,673ef5fdfc22130974001234
182,Attempt,Water while second teacher present nearly father.,2006-11-11,Investigating,2016-02-20,673ef5fd4c5bde74a8001234
183,Attempt,Collection ever Republican source drop character claim can debate.,2016-09-06,Investigating,2018-08-19,673ef5fdcedebb6e87001234
184,Theft,Miss agency home reveal do smile throw sit.,2009-01-07,Closed,2011-07-16,673ef5fd6cdd60ea00001234
185,Kidnapping,Police agree throughout defense know wear cost magazine.,2013-04-05,Pending,2024-06-17,673ef5fdeecca5b636001234
186,Kidnapping,Cold include system in spring wall action.,2006-07-02,Closed,2017-10-30,673ef5fd9872ed9fc2001234
187,Murder,Capital sign city court happen everyone task foot always will.,2012-12-25,Pending,2017-01-25,673ef5fd31fefc0e57001234
188,Murder,Institution operation answer possible edge none just all operation at field water.,2017-04-11,Pending,2008-05-30,673ef5fd9dcb88e013001234
189,Murder,Process age education heavy check another summer that pressure station wear ask first.,2020-01-06,Pending,2022-06-08,673ef5fda2557a7b2e001234
190,Murder,Animal billion section soon popular pick day budget especially executive store by.,2005-09-29,Closed,2023-12-01,673ef5fdcfecdb276f001234
191,Theft,Executive threat nor weight method decide science.,2023-12-26,Pending,2017-12-20,673ef5fd0aa1883c64001234
192,Murder,No throughout government accept prove example choice.,2019-05-13,Investigating,2024-01-23,673ef5fd58a2fc6ed3001234
193,Attempt,Accept agency not believe father return firm suffer scene start often.,2022-06-14,Pending,2011-10-20,673ef5fdbd686fd640001234
194,Kidnapping,Agent over number industry television quite about continue.,2006-01-05,Investigating,2019-12-18,673ef5fda597e50502001234
195,Attempt,Real beautiful receive break indicate guess now there successful.,2020-04-09,Closed,2009-02-20,673ef5fd0336dcbab0001234
196,Theft,Dog man up economy popular end model compare particularly final.,2022-03-22,Pending,2009-07-10,673ef5fd084b6fbb10001234
197,Kidnapping,Out those season picture former none anyone plan hard Mr.,2005-11-27,Closed,2021-09-20,673ef5fd85d8ce590a001234
198,Theft,Together wait interesting nothing consider wind be later personal imagine house meeting sense.,2010-10-14,Pending,2007-07-15,673ef5fd0e65972dce001234
199,Kidnapping,Position card change rule marriage remember soldier four stop allow air ball.,2006-11-13,Closed,2012-10-27,673ef5fd84d9ee44e4001234
200,Murder,Central call how foot discussion station race record national painting account.,2008-03-20,Investigating,2013-11-18,673ef5fd3644a684f9001234
201,Attempt,During small walk should treatment contain my trade executive agent analysis yes.,2005-05-12,Pending,2023-07-09,673ef5fd757b505cfd001234
202,Attempt,Line attack lay job group family analysis trip listen eight society leader.,2017-01-07,Closed,2012-05-25,673ef5fd854d6fae5e001234
203,Theft,Official maybe end population lay money bit worker on.,2017-01-04,Investigating,2017-11-11,673ef5fde2c0be2456001234
204,Attempt,Forget first interview effort easy inside I whole next though anyone.,2012-02-28,Investigating,2011-07-21,673ef5fd274ad4786c001234
205,Theft,My attack pull concern road close maintain eat listen guess without chance.,2017-04-26,Pending,2008-01-25,673ef5fdeae27d77ca001234
206,Theft,Your accept message most raise ago.,2023-01-15,Investigating,2021-09-04,673ef5fd7eabe3a164001234
207,Murder,Treatment miss meet little top buy audience daughter condition year spring defense week.,2019-04-20,Pending,2021-05-17,673ef5fd69adc1e107001234
208,Kidnapping,Figure fund decide feel foreign bank your business benefit democratic seek always.,2013-10-10,Closed,2007-02-27,673ef5fd091d584fce001234
209,Murder,Trip no finish important rich whom value sister.,2022-06-25,Pending,2012-02-19,673ef5fdb1d10e7baf001234
210,Kidnapping,Them clear suggest ability debate until if human choice create.,2005-03-20,Closed,2016-09-05,673ef5fd6f3ef77ac0001234
211,Kidnapping,Price reach everyone network young which less serious court teacher over amount.,2020-05-12,Pending,2006-08-04,673ef5fdeb16372791001234
212,Attempt,Note training reason those draw successful fly knowledge their.,2009-08-15,Pending,2011-10-03,673ef5fd1534b76d32001234
213,Murder,My attention itself hospital chance look total soon from amount analysis occur teacher.,2013-01-23,Investigating,2007-02-06,673ef5fd979d472a84001234
214,Theft,Use red sign as pattern firm often build.,2017-02-26,Pending,2022-05-11,673ef5fdca46c1b951001234
215,Attempt,Outside success follow arm glass modern speak.,2018-07-21,Pending,2008-07-06,673ef5fd3b8a614226001234
216,Theft,Fish send here material design inside strong leave institution discuss middle quickly.,2021-01-25,Closed,2006-11-26,673ef5fd45fbc6d3e0001234
217,Kidnapping,Clearly tonight choice how price American forward this responsibility pull clear space.,2010-11-25,Closed,2018-10-12,673ef5fd63dc7ed101001234
218,Theft,About wish rich decision whether foot.,2018-05-12,Investigating,2015-02-17,673ef5fde96ed478da001234
219,Theft,Bar seven imagine soon view country.,2005-11-14,Investigating,2015-10-27,673ef5fdc0e190d826001234
220,Murder,Project fish agency fire popular school model help hospital.,2006-02-03,Investigating,2013-06-29,673ef5fdec8ce6abb3001234
221,Theft,May city firm half buy community marriage.,2008-08-06,Investigating,2019-08-30,673ef5fd060ad92489001234
222,Theft,Lose large himself cut serious believe cell.,2019-12-17,Pending,2009-01-01,673ef5fdbcbe3365e6001234
223,Theft,Family coach character bed whether traditional peace red under knowledge none.,2009-06-09,Pending,2013-03-23,673ef5fd115f895031001234
224,Theft,Must turn one politics analysis school outside best fight with capital up skill.,2008-10-24,Pending,2011-11-07,673ef5fd13fe9d8431001234
225,Attempt,Late girl film out animal strong table both current prepare city resource.,2014-04-21,Pending,2008-04-14,673ef5fdd1c38a09ac001234
226,Murder,Summer always easy simple section least.,2022-04-18,Pending,2006-11-09,673ef5fd9cfdf10e8f001234
227,Kidnapping,Few language local course product nature protect fear military month walk top girl.,2020-09-17,Investigating,2021-10-07,673ef5fd705f217283001234
228,Theft,Against national car structure body system environment.,2007-04-05,Closed,2017-10-25,673ef5fd74db120f0a001234
229,Attempt,Others science matter knowledge level service decision work any allow building officer.,2010-03-17,Pending,2022-10-23,673ef5fd57aeee35c9001234
230,Theft,Economy reflect significant election candidate measure.,2015-02-15,Pending,2019-01-20,673ef5fd6da9003b74001234
231,Attempt,Live or also view no same nice sea enough table.,2013-02-07,Closed,2006-06-21,673ef5fd9b04d15284001234
